영업상태명,영업상태코드,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,3,폐업,2013-11-01,서울특별시 용산구 이태원동 131-36번지 (지상1층) ,,프리티키티,한식,199462.55857419,447958.068967697
폐업,3,폐업,2013-06-13,서울특별시 용산구 이태원동 112-5번지 (지상1/2층) ,,이태원가든,한식,199438.228260888,448098.427399269
폐업,3,폐업,2012-04-20,서울특별시 용산구 이태원동 168-3번지 (지상1층) ,,부여식당,한식,199199.365510991,448057.804505632
폐업,3,폐업,2000-01-28,서울특별시 용산구 청파동2가 60-19번지 ,,파랑새,경양식,196975.096388776,449200.820827861
폐업,3,폐업,2003-02-14,서울특별시 용산구 청파동2가 75-5번지 ,,넋두리,경양식,197163.033109196,449152.983713936
폐업,3,폐업,2006-02-01,서울특별시 용산구 청파동2가 40-8번지 ,,다안,경양식,197021.878526165,449231.342824584
영업/정상,1,영업,,서울특별시 용산구 이태원동 258-7번지 (지상1층.2층.3층) ,서울특별시 용산구 회나무로44길 10 (이태원동),라쿠치나(주)세부유통,경양식,199618.685808269,448700.221051459
폐업,3,폐업,2000-12-29,서울특별시 용산구 이태원동 127-28번지 ,,샤레이드,경양식,199419.467720549,447976.93552739
폐업,3,폐업,2009-05-08,서울특별시 용산구 이태원동 5-5번지 ,,휘겔,한식,199472.133257656,448714.747683328
폐업,3,폐업,2010-01-13,서울특별시 용산구 청파동2가 55-9번지 ,,크레파스,한식,196893.988217825,449214.228517239
폐업,3,폐업,2013-11-06,서울특별시 용산구 청파동2가 71-22번지 (지하1층) ,,야실내포장마차,경양식,,
폐업,3,폐업,2002-04-23,서울특별시 용산구 효창동 5-286번지 ,,성락반점,중국식,,
폐업,3,폐업,2003-04-15,서울특별시 용산구 후암동 236-1번지 ,,원조숯불바베큐,분식,197964.771468054,449515.301731087
폐업,3,폐업,2002-03-20,서울특별시 용산구 이태원동 274-2번지 ,,왕족발,한식,198912.797243832,448529.432651605
폐업,3,폐업,2013-05-20,서울특별시 용산구 이태원동 22-37번지 (지상1층) ,,충청식당,한식,199398.462422719,447677.871810199
폐업,3,폐업,2004-06-28,서울특별시 용산구 청파동2가 60-1번지 ,,산마루식당,한식,196998.349929352,449258.487063742
폐업,3,폐업,2001-10-17,서울특별시 용산구 후암동 60-39번지 ,,다림방 후암점,한식,197938.154719008,449791.108070433
폐업,3,폐업,2007-01-29,서울특별시 용산구 후암동 243-2번지 ,,백년회관,한식,197944.965546565,449598.350072346
폐업,3,폐업,2002-12-03,서울특별시 용산구 한남동 737-32번지 ,,(주)이태원호텔(프린세스),일식,199788.755748324,448121.175798434
폐업,3,폐업,2022-08-06,서울특별시 용산구 한남동 738-18 ,서울특별시 용산구 이태원로 237 (한남동),카페온21(CAFE ON21),경양식,199891.172887787,448217.682224618
폐업,3,폐업,2000-05-03,서울특별시 용산구 청파동3가 24-4번지 ,,사카,경양식,197321.065710824,449090.401637502
폐업,3,폐업,2007-10-01,서울특별시 용산구 청파동2가 53-0번지 (지하1층) ,,그린토마토,경양식,196874.457628785,449227.875133061
폐업,3,폐업,2008-05-14,서울특별시 용산구 청파동2가 63-3번지 (지하1층) ,,로즈느와,경양식,196943.763248614,449213.655616994
폐업,3,폐업,2001-11-12,서울특별시 용산구 이태원동 57-41번지 ,,이서방양념치킨,경양식,199000.661235018,448019.13599608
폐업,3,폐업,2000-01-01,서울특별시 용산구 이태원동 168-9번지 ,,째즈,경양식,199192.609220612,448037.647264242
폐업,3,폐업,2012-01-12,서울특별시 용산구 이태원동 130-34번지 (지상1층) ,,육회지존,경양식,199399.509258448,447940.397728703
폐업,3,폐업,2002-07-09,서울특별시 용산구 이태원동 137-56번지 ,,애플,경양식,199549.746324061,447884.840706788
폐업,3,폐업,2001-03-08,서울특별시 용산구 이태원동 130-21번지 ,,첸스호프,한식,,
폐업,3,폐업,2000-02-21,서울특별시 용산구 청파동1가 205-2번지 ,,바니양념통닭,분식,196710.357559596,449598.737177018
폐업,3,폐업,2000-04-18,서울특별시 용산구 이태원동 36-9번지 ,,동네치킨,분식,199286.240629209,447712.164155771
폐업,3,폐업,2001-09-10,서울특별시 용산구 한남동 639-13번지 ,,개성집,분식,200346.116197926,447870.711806968
폐업,3,폐업,2006-10-02,서울특별시 용산구 청파동2가 82-2번지 ,,엉클옹이,분식,197194.775650635,449158.997429211
폐업,3,폐업,2011-10-20,서울특별시 용산구 청파동3가 60-0번지 (지상1층) ,,아톰프라자,분식,197326.255684213,449037.30792556
폐업,3,폐업,2002-11-13,서울특별시 용산구 후암동 164-29번지 ,,맛나식당,분식,197695.967060037,449358.589589608
폐업,3,폐업,2000-03-02,서울특별시 용산구 한남동 89-1번지 ,,카타레스토랑,한식,,
